Name,Url,Authority,Started On,Finished On,License Number
Career Essentials in Generative AI by Microsoft and LinkedIn,https://www.linkedin.com/learning/certificates/b07baba3e2d573dbb80201cb55d79a9776941fcd423f077457923e53bb47dcfb,Microsoft,Feb 2026,,
Build Your Generative AI Productivity Skills with Microsoft and LinkedIn,https://www.linkedin.com/learning/certificates/9c7e9c6c769dad8b4e03ccd16ef3cae209895323fbe8d9f7bac48767b309a81d,Microsoft,Feb 2026,,
Preparing for the Future of Work with AI Agents,https://www.linkedin.com/learning/certificates/e539869c9437b99c694205b6bf274eef97f5d7ff64e5fbc0433b226d858a8315,LinkedIn,Feb 2026,,
Fundamentals of digital marketing,https://skillshop.exceedlms.com/student/award/RuM7eufo8FGxiFKdoKune8HD,Google Digital Academy (Skillshop),Feb 2026,,444354710
YouTube Music Certification,https://skillshop.exceedlms.com/profiles/c92f51aa68fc451f9ee992f9e813024b,Google Digital Academy (Skillshop),Mar 2026,,452474220
Microsoft Copilot for Productivity by Microsoft and LinkedIn,https://www.linkedin.com/learning/certificates/ebee0f751b683082436e62c08e7461b97f7f11191f192f20010404efefcdd55a,Microsoft,Mar 2026,,
Artificial Intelligence Foundations: Machine Learning,https://www.linkedin.com/learning/certificates/05658b20b59db9dbbd1b31ef562e84870bb01d03cec38a0621ae8f423103355a?trk=share_certificate,LinkedIn,Mar 2026,,05658b20b59db9dbbdlb31ef562e84870bb0ld03cec38a062lae8f423103355a
Google Analytics Certification,https://skillshop.credential.net/c845a7b6-cef3-4e66-87e2-481771d889ed,Google Digital Academy (Skillshop),Mar 2026,Mar 2027,176836538
Microsoft Applied Skills: Create an AI agent,https://learn.microsoft.com/api/credentials/share/en-us/VojislavMiloradovic/DC86763A7069ABBF?sharingId,Microsoft,Mar 2026,,DC86763A7069ABBF
Google Ads Search Certification,https://skillshop.credential.net/f0f3a46f-f6a1-4145-8fb5-2c2bb41a761f,Google Digital Academy (Skillshop),Mar 2026,Mar 2027,177009912
Microsoft Applied Skills: Streamline business workflows with AI chat,https://learn.microsoft.com/api/credentials/share/en-us/VojislavMiloradovic/CE7FBB459ADAB331?sharingId,Microsoft,Mar 2026,,CE7FBB459ADAB331
AI-Powered Performance Ads Certification,https://skillshop.credential.net/1583f933-2a97-47bc-b442-8ad614e6982d,Google Digital Academy (Skillshop),Mar 2026,Mar 2027,177089684
Microsoft Applied Skills: Get started with cloud security and monitoring tasks,https://learn.microsoft.com/api/credentials/share/en-us/VojislavMiloradovic/1EBB80C496C2DDF1?sharingId,Microsoft,Mar 2026,,1EBB80C496C2DDF1
AI-Powered Shopping ads Certification,https://skillshop.credential.net/09192bf8-4cca-4947-86c8-58a0b29d6511,Google Digital Academy (Skillshop),Mar 2026,Mar 2027,177224150
Microsoft Applied Skills: Get started with Azure management tasks,https://learn.microsoft.com/api/credentials/share/en-us/VojislavMiloradovic/B7C5DF765FB52CEA?sharingId,Microsoft,Mar 2026,,B7C5DF765FB52CEA
AI for Organizational Leaders by Microsoft and LinkedIn,https://www.linkedin.com/learning/certificates/e35be3b2c6052400135ef163eef7b3a03e9d18314590151a7a4ef52a7ae77702,Microsoft,Mar 2026,,
Google Ads Measurement Certification,https://skillshop.credential.net/3eec0163-8804-4d17-bde0-d08e6c76d74c,Google Digital Academy (Skillshop),Mar 2026,Mar 2027,177542026
Microsoft Applied Skills: Get started with identities and access using Microsoft Entra,https://learn.microsoft.com/api/credentials/share/en-us/VojislavMiloradovic/27BB90F5B956E0C8?sharingId,Microsoft,Mar 2026,,27BB90F5B956E0C8
Google Ads Apps Certification,https://skillshop.credential.net/2d3974a2-6a69-4b66-8886-350d7b1626d5,Google Digital Academy (Skillshop),Mar 2026,Mar 2027,177724948
Search Ads 360 Certification Exam,https://skillshop.credential.net/5b477ad2-43c6-4789-af30-137f9f87f4c6,Google Digital Academy (Skillshop),Mar 2026,Mar 2027,177862344
Microsoft Applied Skills: Generate reports with AI research agents,https://learn.microsoft.com/api/credentials/share/en-us/VojislavMiloradovic/ABC20116B56C7F9F?sharingId,Microsoft,Mar 2026,,ABC20116B56C7F9F
Grow Offline Sales Certification,https://skillshop.credential.net/2d2774cb-bf2e-47c5-a286-86de5cc1bcd8,Google Digital Academy (Skillshop),Mar 2026,Mar 2027,178115725
Human Skills in the Age of AI by Microsoft and LinkedIn,https://www.linkedin.com/learning/certificates/ae6b4ab2f3e25673ea0b882f5443d748f91855994ac4f6204d2b824e14bc51f4,Microsoft,Mar 2026,,
Conversion Optimization Certification Exam,https://skillshop.credential.net/3c4afa84-5637-4c3b-b3fc-6e6c26e48d35,Google Digital Academy (Skillshop),Mar 2026,Mar 2027,178433225
